group,subgroup,class,consumption,CHART
RECREATION AND CULTURE,"Newspapers, books and stationery","Newspapers, magazines and stationery",3,13
RECREATION AND CULTURE,Holiday travel and accommodation,Domestic holiday travel and accommodation,3,9
RECREATION AND CULTURE,Holiday travel and accommodation,International holiday travel and accommodation,3,10
RECREATION AND CULTURE,"Other recreation, sport and culture","Equipment for sports, camping and open-air recreation",3,8
RECREATION AND CULTURE,"Other recreation, sport and culture","Games, toys and hobbies",3,9
RECREATION AND CULTURE,"Other recreation, sport and culture",Pets and related products,3,19
RECREATION AND CULTURE,"Other recreation, sport and culture",Veterinary and other services for pets,3,12
RECREATION AND CULTURE,"Other recreation, sport and culture",Sports participation,3,7
RECREATION AND CULTURE,"Other recreation, sport and culture","Other recreational, sporting and cultural services",3,13
EDUCATION,Education,Preschool and primary education,3,15
EDUCATION,Education,Secondary education,3,13
EDUCATION,Education,Tertiary education,3,18
INSURANCE AND FINANCIAL SERVICES,Insurance,Insurance,3,12
INSURANCE AND FINANCIAL SERVICES,Financial services,Deposit and loan facilities (direct charges),3,3
INSURANCE AND FINANCIAL SERVICES,Financial services,Other financial services,3,4
