REGION,GROUP,SUBGROUP,CLASS,LEVEL,CHART,SERIES_ID,CONSUMPTION
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Food products n.e.c.,,2,0.4,A3603943K,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Food products n.e.c.,Eggs,3,0.6,A2327606C,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Food products n.e.c.,"Jams, honey and spreads",3,0.6,A2327651R,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Food products n.e.c.,Food additives and condiments,3,0.8,A2329451J,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Food products n.e.c.,Oils and fats,3,0.1,A2329496L,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Food products n.e.c.,Snacks and confectionery,3,0.0,A2331701C,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Food products n.e.c.,Other food products n.e.c.,3,0.1,A2327741V,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Non-alcoholic beverages,,2,0.8,A3603983C,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Non-alcoholic beverages,"Coffee, tea and cocoa",3,0.9,A2327696V,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Non-alcoholic beverages,"Waters, soft drinks and juices",3,0.8,A2331746J,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Meals out and take away foods,,2,0.5,A2326256W,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Meals out and take away foods,Restaurant meals,3,0.8,A2327516X,
Australia,FOOD AND NON-ALCOHOLIC BEVERAGES,Meals out and take away foods,Take away and fast foods,3,0.5,A2327561K,
Australia,ALCOHOL AND TOBACCO,,,1,0.8,A2326076L,
Australia,ALCOHOL AND TOBACCO,Alcoholic beverages,,2,0.3,A2326706V,
Australia,ALCOHOL AND TOBACCO,Alcoholic beverages,Spirits,3,0.2,A2328911T,
Australia,ALCOHOL AND TOBACCO,Alcoholic beverages,Wine,3,0.0,A2328866T,
Australia,ALCOHOL AND TOBACCO,Alcoholic beverages,Beer,3,0.9,A2328821L,
Australia,ALCOHOL AND TOBACCO,Tobacco,,2,0.7,A2326751F,
Australia,ALCOHOL AND TOBACCO,Tobacco,Tobacco,3,0.8,A2328956W,
Australia,CLOTHING AND FOOTWEAR,,,1,0.9,A2325896A,
Australia,CLOTHING AND FOOTWEAR,Garments,,2,0.4,A3604023L,
Australia,CLOTHING AND FOOTWEAR,Garments,Garments for men,3,0.2,A2329541L,
Australia,CLOTHING AND FOOTWEAR,Garments,Garments for women,3,0.7,A2329676W,
Australia,CLOTHING AND FOOTWEAR,Garments,Garments for infants and children,3,0.7,A2329721W,
Australia,CLOTHING AND FOOTWEAR,Footwear,,2,0.6,A2326346A,
Australia,CLOTHING AND FOOTWEAR,Footwear,Footwear for men,3,0.8,A2327876C,
Australia,CLOTHING AND FOOTWEAR,Footwear,Footwear for women,3,0.5,A2327921C,
Australia,CLOTHING AND FOOTWEAR,Footwear,Footwear for infants and children,3,0.7,A2327966J,
Australia,CLOTHING AND FOOTWEAR,Accessories and clothing services,,2,0.6,A2329766A,
Australia,CLOTHING AND FOOTWEAR,Accessories and clothing services,Accessories,3,1.0,A2329811A,
Australia,CLOTHING AND FOOTWEAR,Accessories and clothing services,"Cleaning, repair and hire of clothing and footwear",3,0.3,A2328011K,
Australia,HOUSING,,,1,0.4,A2325941A,
Australia,HOUSING,Rents,,2,0.3,A2331836L,
Australia,HOUSING,Rents,Rents,3,0.3,A2326391L,
Australia,HOUSING,New dwelling purchase by owner-occupiers,,2,0.7,A3604223F,
Australia,HOUSING,New dwelling purchase by owner-occupiers,New dwelling purchase by owner-occupiers,3,0.8,A2329901F,
Australia,HOUSING,Other housing,,2,0.2,A3603573L,
Australia,HOUSING,Other housing,Maintenance and repair of the dwelling,3,0.1,A2328056R,
Australia,HOUSING,Other housing,Property rates and charges,3,0.6,A2329946K,
Australia,HOUSING,Utilities,,2,0.2,A2326481T,
Australia,HOUSING,Utilities,Water and sewerage,3,0.8,A2329856F,
Australia,HOUSING,Utilities,Electricity,3,0.5,A2328101R,
Australia,HOUSING,Utilities,Gas and other household fuels,3,0.7,A2331881X,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",,,1,0.8,A2325986F,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Furniture and furnishings,,2,0.8,A3604143F,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Furniture and furnishings,Furniture,3,0.1,A2328146V,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Furniture and furnishings,Carpets and other floor coverings,3,0.8,A3604183X,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Household textiles,,2,0.1,A3604063F,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Household textiles,Household textiles,3,0.8,A3604103L,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES","Household appliances, utensils and tools",,2,0.6,A2329991W,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES","Household appliances, utensils and tools",Major household appliances,3,0.6,A2328236X,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES","Household appliances, utensils and tools",Small electric household appliances,3,0.3,A2330981R,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES","Household appliances, utensils and tools","Glassware, tableware and household utensils",3,0.8,A2331026K,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES","Household appliances, utensils and tools",Tools and equipment for house and garden,3,0.6,A2328281K,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Non-durable household products,,2,0.3,A2330036W,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Non-durable household products,Cleaning and maintenance products,3,1.0,A2328326C,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Non-durable household products,Personal care products,3,0.4,A2329181V,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Non-durable household products,Other non-durable household products,3,0.7,A2330081J,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Domestic and household services,,2,0.7,A2330126A,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Domestic and household services,Child care,3,0.1,A2331566X,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Domestic and household services,Hairdressing and personal grooming services,3,0.7,A2329226L,
Australia,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Domestic and household services,Other household services,3,0.2,A2331656C,
Australia,HEALTH,,,1,0.7,A2331071W,
Australia,HEALTH,"Medical products, appliances and equipment",,2,0.5,A3603613V,
Australia,HEALTH,"Medical products, appliances and equipment",Pharmaceutical products,3,0.9,A2329136J,
Australia,HEALTH,"Medical products, appliances and equipment",Therapeutic appliances and equipment,3,0.2,A2329046C,
Australia,HEALTH,"Medical, dental and hospital services",,2,0.1,A3603653L,
Australia,HEALTH,"Medical, dental and hospital services",Medical and hospital services,3,0.5,A2329001X,
Australia,HEALTH,"Medical, dental and hospital services",Dental services,3,0.9,A2329091R,
Australia,TRANSPORT,,,1,0.8,A2326031J,
Australia,TRANSPORT,Private motoring,,2,0.7,A2326616R,
Australia,TRANSPORT,Private motoring,Motor vehicles,3,0.7,A2328551X,
Australia,TRANSPORT,Private motoring,Spare parts and accessories for motor vehicles,3,0.6,A2328686J,
Australia,TRANSPORT,Private motoring,Automotive fuel,3,0.7,A2328596C,
Australia,TRANSPORT,Private motoring,Maintenance and repair of motor vehicles,3,0.3,A2328731J,
Australia,TRANSPORT,Private motoring,Other services in respect of motor vehicles,3,0.5,A2328641C,
Australia,TRANSPORT,Urban transport fares,,2,0.0,A2326661A,
Australia,TRANSPORT,Urban transport fares,Urban transport fares,3,0.6,A2328776L,
Australia,COMMUNICATION,,,1,0.7,A2331161A,
Australia,COMMUNICATION,Communication,,2,0.7,A2326571W,
Australia,COMMUNICATION,Communication,Postal services,3,0.3,A2328461V,
Australia,COMMUNICATION,Communication,Telecommunication equipment and services,3,0.2,A2328506L,
Australia,RECREATION AND CULTURE,,,1,0.9,A2331206V,
Australia,RECREATION AND CULTURE,"Audio, visual and computing equipment and services",,2,0.7,A3603813L,
Australia,RECREATION AND CULTURE,"Audio, visual and computing equipment and services","Audio, visual and computing equipment",3,0.2,A2329271X,
Australia,RECREATION AND CULTURE,"Audio, visual and computing equipment and services","Audio, visual and computing media and services",3,0.9,A3603693F,
Australia,RECREATION AND CULTURE,"Newspapers, books and stationery",,2,0.6,A3603733L,
Australia,RECREATION AND CULTURE,"Newspapers, books and stationery",Books,3,1.0,A2330171L,
Australia,RECREATION AND CULTURE,"Newspapers, books and stationery","Newspapers, magazines and stationery",3,0.4,A3603773F,
Australia,RECREATION AND CULTURE,Holiday travel and accommodation,,2,0.1,A2326841K,
Australia,RECREATION AND CULTURE,Holiday travel and accommodation,Domestic holiday travel and accommodation,3,0.4,A2329316T,
Australia,RECREATION AND CULTURE,Holiday travel and accommodation,International holiday travel and accommodation,3,0.5,A2329361C,
Australia,RECREATION AND CULTURE,"Other recreation, sport and culture",,2,0.8,A2331341K,
Australia,RECREATION AND CULTURE,"Other recreation, sport and culture","Equipment for sports, camping and open-air recreation",3,0.2,A2330306K,
Australia,RECREATION AND CULTURE,"Other recreation, sport and culture","Games, toys and hobbies",3,0.7,A2330351W,
Australia,RECREATION AND CULTURE,"Other recreation, sport and culture",Pets and related products,3,0.3,A2328416J,
Australia,RECREATION AND CULTURE,"Other recreation, sport and culture",Veterinary and other services for pets,3,0.4,A2328371R,
Australia,RECREATION AND CULTURE,"Other recreation, sport and culture",Sports participation,3,0.8,A2330396A,
Australia,RECREATION AND CULTURE,"Other recreation, sport and culture","Other recreational, sporting and cultural services",3,0.5,A2330441A,
Australia,EDUCATION,,,1,0.8,A2331386R,
Australia,EDUCATION,Education,,2,0.3,A2329406W,
Australia,EDUCATION,Education,Preschool and primary education,3,0.6,A2331431R,
Australia,EDUCATION,Education,Secondary education,3,0.7,A2331476V,
Australia,EDUCATION,Education,Tertiary education,3,1.0,A2331521V,
Australia,INSURANCE AND FINANCIAL SERVICES,,,1,0.6,A2332556L,
Australia,INSURANCE AND FINANCIAL SERVICES,Insurance,,2,0.8,A3602793W,
Australia,INSURANCE AND FINANCIAL SERVICES,Insurance,Insurance,3,0.2,A3602838R,
Australia,INSURANCE AND FINANCIAL SERVICES,Financial services,,2,0.3,A3603893X,
Australia,INSURANCE AND FINANCIAL SERVICES,Financial services,Deposit and loan facilities (direct charges),3,0.3,A3603853F,
Australia,INSURANCE AND FINANCIAL SERVICES,Financial services,Other financial services,3,0.9,A2332736W,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,,,1,0.2,A2325851W,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Bread and cereal products,,2,0.1,A2326166T,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Bread and cereal products,Bread,3,0.9,A2327021W,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Bread and cereal products,Cakes and biscuits,3,0.8,A2327066A,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Bread and cereal products,Breakfast cereals,3,0.3,A2327111A,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Bread and cereal products,Other cereal products,3,0.7,A2327156F,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,,2,0.7,A2326211T,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,Beef and veal,3,0.8,A2327201F,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,Pork,3,0.9,A3603903T,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,Lamb and goat,3,0.6,A2327246K,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,Poultry,3,0.7,A2327336R,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,Other meats,3,0.7,A2327426V,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,Fish and other seafood,3,0.4,A2327471F,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Dairy and related products,,2,1.0,A2326121L,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Dairy and related products,Milk,3,0.4,A2326886R,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Dairy and related products,Cheese,3,0.2,A2326931R,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Dairy and related products,Ice cream and other dairy products,3,0.0,A2326976V,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Fruit and vegetables,,2,0.1,A2330846X,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Fruit and vegetables,Fruit,3,0.9,A2330891K,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Fruit and vegetables,Vegetables,3,0.9,A2330936C,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Food products n.e.c.,,2,0.3,A3603943K,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Food products n.e.c.,Eggs,3,0.9,A2327606C,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Food products n.e.c.,"Jams, honey and spreads",3,0.2,A2327651R,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Food products n.e.c.,Food additives and condiments,3,0.2,A2329451J,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Food products n.e.c.,Oils and fats,3,0.1,A2329496L,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Food products n.e.c.,Snacks and confectionery,3,0.7,A2331701C,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Food products n.e.c.,Other food products n.e.c.,3,0.3,A2327741V,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Non-alcoholic beverages,,2,0.0,A3603983C,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Non-alcoholic beverages,"Coffee, tea and cocoa",3,0.6,A2327696V,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Non-alcoholic beverages,"Waters, soft drinks and juices",3,1.0,A2331746J,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Meals out and take away foods,,2,0.6,A2326256W,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Meals out and take away foods,Restaurant meals,3,0.4,A2327516X,
Sydney,FOOD AND NON-ALCOHOLIC BEVERAGES,Meals out and take away foods,Take away and fast foods,3,0.8,A2327561K,
Sydney,ALCOHOL AND TOBACCO,,,1,0.7,A2326076L,
Sydney,ALCOHOL AND TOBACCO,Alcoholic beverages,,2,0.9,A2326706V,
Sydney,ALCOHOL AND TOBACCO,Alcoholic beverages,Spirits,3,0.7,A2328911T,
Sydney,ALCOHOL AND TOBACCO,Alcoholic beverages,Wine,3,0.2,A2328866T,
Sydney,ALCOHOL AND TOBACCO,Alcoholic beverages,Beer,3,0.7,A2328821L,
Sydney,ALCOHOL AND TOBACCO,Tobacco,,2,0.4,A2326751F,
Sydney,ALCOHOL AND TOBACCO,Tobacco,Tobacco,3,0.9,A2328956W,
Sydney,CLOTHING AND FOOTWEAR,,,1,0.1,A2325896A,
Sydney,CLOTHING AND FOOTWEAR,Garments,,2,0.5,A3604023L,
Sydney,CLOTHING AND FOOTWEAR,Garments,Garments for men,3,0.7,A2329541L,
Sydney,CLOTHING AND FOOTWEAR,Garments,Garments for women,3,0.5,A2329676W,
Sydney,CLOTHING AND FOOTWEAR,Garments,Garments for infants and children,3,0.4,A2329721W,
Sydney,CLOTHING AND FOOTWEAR,Footwear,,2,0.4,A2326346A,
Sydney,CLOTHING AND FOOTWEAR,Footwear,Footwear for men,3,0.8,A2327876C,
Sydney,CLOTHING AND FOOTWEAR,Footwear,Footwear for women,3,0.5,A2327921C,
Sydney,CLOTHING AND FOOTWEAR,Footwear,Footwear for infants and children,3,0.5,A2327966J,
Sydney,CLOTHING AND FOOTWEAR,Accessories and clothing services,,2,0.8,A2329766A,
Sydney,CLOTHING AND FOOTWEAR,Accessories and clothing services,Accessories,3,1.0,A2329811A,
Sydney,CLOTHING AND FOOTWEAR,Accessories and clothing services,"Cleaning, repair and hire of clothing and footwear",3,0.4,A2328011K,
Sydney,HOUSING,,,1,0.2,A2325941A,
Sydney,HOUSING,Rents,,2,0.5,A2331836L,
Sydney,HOUSING,Rents,Rents,3,0.4,A2326391L,
Sydney,HOUSING,New dwelling purchase by owner-occupiers,,2,0.6,A3604223F,
Sydney,HOUSING,New dwelling purchase by owner-occupiers,New dwelling purchase by owner-occupiers,3,0.5,A2329901F,
Sydney,HOUSING,Other housing,,2,0.3,A3603573L,
Sydney,HOUSING,Other housing,Maintenance and repair of the dwelling,3,0.2,A2328056R,
Sydney,HOUSING,Other housing,Property rates and charges,3,0.0,A2329946K,
Sydney,HOUSING,Utilities,,2,0.4,A2326481T,
Sydney,HOUSING,Utilities,Water and sewerage,3,0.4,A2329856F,
Sydney,HOUSING,Utilities,Electricity,3,0.0,A2328101R,
Sydney,HOUSING,Utilities,Gas and other household fuels,3,0.6,A2331881X,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",,,1,0.2,A2325986F,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Furniture and furnishings,,2,0.9,A3604143F,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Furniture and furnishings,Furniture,3,0.2,A2328146V,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Furniture and furnishings,Carpets and other floor coverings,3,0.1,A3604183X,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Household textiles,,2,0.3,A3604063F,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Household textiles,Household textiles,3,0.5,A3604103L,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES","Household appliances, utensils and tools",,2,0.2,A2329991W,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES","Household appliances, utensils and tools",Major household appliances,3,0.5,A2328236X,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES","Household appliances, utensils and tools",Small electric household appliances,3,0.8,A2330981R,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES","Household appliances, utensils and tools","Glassware, tableware and household utensils",3,0.2,A2331026K,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES","Household appliances, utensils and tools",Tools and equipment for house and garden,3,0.3,A2328281K,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Non-durable household products,,2,0.2,A2330036W,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Non-durable household products,Cleaning and maintenance products,3,0.3,A2328326C,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Non-durable household products,Personal care products,3,0.0,A2329181V,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Non-durable household products,Other non-durable household products,3,0.7,A2330081J,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Domestic and household services,,2,0.0,A2330126A,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Domestic and household services,Child care,3,0.5,A2331566X,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Domestic and household services,Hairdressing and personal grooming services,3,0.9,A2329226L,
Sydney,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND SERVICES",Domestic and household services,Other household services,3,0.4,A2331656C,
Sydney,HEALTH,,,1,0.1,A2331071W,
Sydney,HEALTH,"Medical products, appliances and equipment",,2,0.7,A3603613V,
Sydney,HEALTH,"Medical products, appliances and equipment",Pharmaceutical products,3,0.4,A2329136J,
Sydney,HEALTH,"Medical products, appliances and equipment",Therapeutic appliances and equipment,3,0.5,A2329046C,
Sydney,HEALTH,"Medical, dental and hospital services",,2,0.5,A3603653L,
Sydney,HEALTH,"Medical, dental and hospital services",Medical and hospital services,3,0.0,A2329001X,
Sydney,HEALTH,"Medical, dental and hospital services",Dental services,3,0.7,A2329091R,
Sydney,TRANSPORT,,,1,0.1,A2326031J,
Sydney,TRANSPORT,Private motoring,,2,0.7,A2326616R,
Sydney,TRANSPORT,Private motoring,Motor vehicles,3,1.0,A2328551X,
Sydney,TRANSPORT,Private motoring,Spare parts and accessories for motor vehicles,3,0.7,A2328686J,
Sydney,TRANSPORT,Private motoring,Automotive fuel,3,0.6,A2328596C,
Sydney,TRANSPORT,Private motoring,Maintenance and repair of motor vehicles,3,0.2,A2328731J,
Sydney,TRANSPORT,Private motoring,Other services in respect of motor vehicles,3,0.3,A2328641C,
Sydney,TRANSPORT,Urban transport fares,,2,0.9,A2326661A,
Sydney,TRANSPORT,Urban transport fares,Urban transport fares,3,0.1,A2328776L,
Sydney,COMMUNICATION,,,1,0.7,A2331161A,
Sydney,COMMUNICATION,Communication,,2,0.1,A2326571W,
Sydney,COMMUNICATION,Communication,Postal services,3,0.9,A2328461V,
Sydney,COMMUNICATION,Communication,Telecommunication equipment and services,3,0.3,A2328506L,
Sydney,RECREATION AND CULTURE,,,1,0.5,A2331206V,
Sydney,RECREATION AND CULTURE,"Audio, visual and computing equipment and services",,2,0.5,A3603813L,
Sydney,RECREATION AND CULTURE,"Audio, visual and computing equipment and services","Audio, visual and computing equipment",3,0.0,A2329271X,
Sydney,RECREATION AND CULTURE,"Audio, visual and computing equipment and services","Audio, visual and computing media and services",3,0.4,A3603693F,
Sydney,RECREATION AND CULTURE,"Newspapers, books and stationery",,2,0.1,A3603733L,
Sydney,RECREATION AND CULTURE,"Newspapers, books and stationery",Books,3,0.1,A2330171L,
Sydney,RECREATION AND CULTURE,"Newspapers, books and stationery","Newspapers, magazines and stationery",3,0.9,A3603773F,
Sydney,RECREATION AND CULTURE,Holiday travel and accommodation,,2,1.0,A2326841K,
Sydney,RECREATION AND CULTURE,Holiday travel and accommodation,Domestic holiday travel and accommodation,3,0.5,A2329316T,
Sydney,RECREATION AND CULTURE,Holiday travel and accommodation,International holiday travel and accommodation,3,0.2,A2329361C,
Sydney,RECREATION AND CULTURE,"Other recreation, sport and culture",,2,0.5,A2331341K,
Sydney,RECREATION AND CULTURE,"Other recreation, sport and culture","Equipment for sports, camping and open-air recreation",3,0.9,A2330306K,
Sydney,RECREATION AND CULTURE,"Other recreation, sport and culture","Games, toys and hobbies",3,0.3,A2330351W,
Sydney,RECREATION AND CULTURE,"Other recreation, sport and culture",Pets and related products,3,0.2,A2328416J,
Sydney,RECREATION AND CULTURE,"Other recreation, sport and culture",Veterinary and other services for pets,3,0.1,A2328371R,
Sydney,RECREATION AND CULTURE,"Other recreation, sport and culture",Sports participation,3,0.8,A2330396A,
Sydney,RECREATION AND CULTURE,"Other recreation, sport and culture","Other recreational, sporting and cultural services",3,0.4,A2330441A,
Sydney,EDUCATION,,,1,0.7,A2331386R,
Sydney,EDUCATION,Education,,2,0.5,A2329406W,
Sydney,EDUCATION,Education,Preschool and primary education,3,0.3,A2331431R,
Sydney,EDUCATION,Education,Secondary education,3,0.9,A2331476V,
Sydney,EDUCATION,Education,Tertiary education,3,0.1,A2331521V,
Sydney,INSURANCE AND FINANCIAL SERVICES,,,1,0.2,A2332556L,
Sydney,INSURANCE AND FINANCIAL SERVICES,Insurance,,2,0.9,A3602793W,
Sydney,INSURANCE AND FINANCIAL SERVICES,Insurance,Insurance,3,0.6,A3602838R,
Sydney,INSURANCE AND FINANCIAL SERVICES,Financial services,,2,0.3,A3603893X,
Sydney,INSURANCE AND FINANCIAL SERVICES,Financial services,Deposit and loan facilities (direct charges),3,0.7,A3603853F,
Sydney,INSURANCE AND FINANCIAL SERVICES,Financial services,Other financial services,3,0.9,A2332736W,
Melbourne,FOOD AND NON-ALCOHOLIC BEVERAGES,,,1,0.7,A2325856J,
Melbourne,FOOD AND NON-ALCOHOLIC BEVERAGES,Bread and cereal products,,2,0.8,A2326171K,
Melbourne,FOOD AND NON-ALCOHOLIC BEVERAGES,Bread and cereal products,Bread,3,0.0,A2327026J,
Melbourne,FOOD AND NON-ALCOHOLIC BEVERAGES,Bread and cereal products,Cakes and biscuits,3,0.2,A2327071V,
Melbourne,FOOD AND NON-ALCOHOLIC BEVERAGES,Bread and cereal products,Breakfast cereals,3,0.7,A2327116L,
Melbourne,FOOD AND NON-ALCOHOLIC BEVERAGES,Bread and cereal products,Other cereal products,3,0.3,A2327161X,
Melbourne,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,,2,0.2,A2326216C,
Melbourne,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,Beef and veal,3,0.9,A2327206T,
Melbourne,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,Pork,3,0.3,A3603908C,
Melbourne,FOOD AND NON-ALCOHOLIC BEVERAGES,Meat and seafoods,Lamb and goat,3,0.7,A2327251C,
