INDEX,GROUP,SUBGROUP,CLASS,LEVEL,WEIGHT,CHART,CONSUMPTION
97549,Food And Non-Alcoholic Beverages,Food products n.e.c.,Food additives and condiments,3,0.3,,
97550,Food And Non-Alcoholic Beverages,Food products n.e.c.,Oils and fats,3,0.2,,
115501,Food And Non-Alcoholic Beverages,Food products n.e.c.,Snacks and confectionery,3,0.84,,
40034,Food And Non-Alcoholic Beverages,Food products n.e.c.,Other food products n.e.c.,3,0.51,,
131180,Food And Non-Alcoholic Beverages,Non-alcoholic beverages,,2,1.1,,
40030,Food And Non-Alcoholic Beverages,Non-alcoholic beverages,"Coffee, tea and cocoa",3,0.24,,
115520,Food And Non-Alcoholic Beverages,Non-alcoholic beverages,"Waters, soft drinks and juices",3,0.86,,
30007,Food And Non-Alcoholic Beverages,Meals out and take away foods,,2,6.35,,
40025,Food And Non-Alcoholic Beverages,Meals out and take away foods,Restaurant meals,3,3.42,,
40026,Food And Non-Alcoholic Beverages,Meals out and take away foods,Take away and fast foods,3,2.93,,
20006,Alcohol And Tobacco,,,1,9.01,,
30026,Alcohol And Tobacco,Alcoholic beverages,,2,5.45,,
40089,Alcohol And Tobacco,Alcoholic beverages,Spirits,3,1.03,,
40088,Alcohol And Tobacco,Alcoholic beverages,Wine,3,2.06,,
40087,Alcohol And Tobacco,Alcoholic beverages,Beer,3,2.36,,
40090,Alcohol And Tobacco,Tobacco,,2,3.56,,
40090,Alcohol And Tobacco,Tobacco,Tobacco,3,3.56,,
20002,Clothing And Footwear,,,1,3.33,,
131181,Clothing And Footwear,Garments,,2,1.99,,
97551,Clothing And Footwear,Garments,Garments for men,3,0.54,,
97554,Clothing And Footwear,Garments,Garments for women,3,1.13,,
97555,Clothing And Footwear,Garments,Garments for infants and children,3,0.32,,
30012,Clothing And Footwear,Footwear,,2,0.49,,
40045,Clothing And Footwear,Footwear,Footwear for men,3,0.12,,
40046,Clothing And Footwear,Footwear,Footwear for women,3,0.29,,
40047,Clothing And Footwear,Footwear,Footwear for infants and children,3,0.08,,
97556,Clothing And Footwear,Accessories and clothing services,,2,0.85,,
97557,Clothing And Footwear,Accessories and clothing services,Accessories,3,0.74,,
40048,Clothing And Footwear,Accessories and clothing services,"Cleaning, repair and hire of clothing and footwear",3,0.11,,
20003,Housing,,,1,23.24,,
30014,Housing,Rents,,2,6.23,,
30014,Housing,Rents,Rents,3,6.23,,
97559,Housing,New dwelling purchase by owner-occupiers,,2,8.67,,
97559,Housing,New dwelling purchase by owner-occupiers,New dwelling purchase by owner-occupiers,3,8.67,,
131187,Housing,Other housing,,2,3.9,,
40053,Housing,Other housing,Maintenance and repair of the dwelling,3,2.29,,
97560,Housing,Other housing,Property rates and charges,3,1.61,,
30016,Housing,Utilities,,2,4.44,,
97558,Housing,Utilities,Water and sewerage,3,0.95,,
40055,Housing,Utilities,Electricity,3,2.52,,
115524,Housing,Utilities,Gas and other household fuels,3,0.97,,
20004,"Furnishings, Household Equipment And Services",,,1,9.16,,
131184,"Furnishings, Household Equipment And Services",Furniture and furnishings,,2,1.97,,
40058,"Furnishings, Household Equipment And Services",Furniture and furnishings,Furniture,3,1.63,,
131185,"Furnishings, Household Equipment And Services",Furniture and furnishings,Carpets and other floor coverings,3,0.34,,
131183,"Furnishings, Household Equipment And Services",Household textiles,,2,0.5,,
131183,"Furnishings, Household Equipment And Services",Household textiles,Household textiles,3,0.5,,
97561,"Furnishings, Household Equipment And Services","Household appliances, utensils and tools",,2,1.6,,
40060,"Furnishings, Household Equipment And Services","Household appliances, utensils and tools",Major household appliances,3,0.44,,
115484,"Furnishings, Household Equipment And Services","Household appliances, utensils and tools",Small electric household appliances,3,0.33,,
115485,"Furnishings, Household Equipment And Services","Household appliances, utensils and tools","Glassware, tableware and household utensils",3,0.42,,
40066,"Furnishings, Household Equipment And Services","Household appliances, utensils and tools",Tools and equipment for house and garden,3,0.41,,
97563,"Furnishings, Household Equipment And Services",Non-durable household products,,2,2.38,,
40067,"Furnishings, Household Equipment And Services",Non-durable household products,Cleaning and maintenance products,3,0.23,,
40095,"Furnishings, Household Equipment And Services",Non-durable household products,Personal care products,3,0.89,,
97564,"Furnishings, Household Equipment And Services",Non-durable household products,Other non-durable household products,3,1.26,,
97565,"Furnishings, Household Equipment And Services",Domestic and household services,,2,2.71,,
115498,"Furnishings, Household Equipment And Services",Domestic and household services,Child care,3,0.91,,
40096,"Furnishings, Household Equipment And Services",Domestic and household services,Hairdressing and personal grooming services,3,1.06,,
115500,"Furnishings, Household Equipment And Services",Domestic and household services,Other household services,3,0.74,,
115486,Health,,,1,6.47,,
131188,Health,"Medical products, appliances and equipment",,2,1.25,,
40094,Health,"Medical products, appliances and equipment",Pharmaceutical products,3,1.09,,
40092,Health,"Medical products, appliances and equipment",Therapeutic appliances and equipment,3,0.16,,
131189,Health,"Medical, dental and hospital services",,2,5.22,,
40091,Health,"Medical, dental and hospital services",Medical and hospital services,3,4.56,,
40093,Health,"Medical, dental and hospital services",Dental services,3,0.66,,
20005,Transport,,,1,10.58,,
30024,Transport,Private motoring,,2,10.22,,
40080,Transport,Private motoring,Motor vehicles,3,3.06,,
40084,Transport,Private motoring,Spare parts and accessories for motor vehicles,3,0.7,,
40081,Transport,Private motoring,Automotive fuel,3,3.28,,
40085,Transport,Private motoring,Maintenance and repair of motor vehicles,3,1.78,,
40083,Transport,Private motoring,Other services in respect of motor vehicles,3,1.4,,
40086,Transport,Urban transport fares,,2,0.36,,
40086,Transport,Urban transport fares,Urban transport fares,3,0.36,,
115488,Communication,,,1,2.41,,
115488,Communication,Communication,,2,2.41,,
40077,Communication,Communication,Postal services,3,0.11,,
40078,Communication,Communication,Telecommunication equipment and services,3,2.3,,
115489,Recreation And Culture,,,1,8.64,,
131193,Recreation And Culture,"Audio, visual and computing equipment and services",,2,2.05,,
40098,Recreation And Culture,"Audio, visual and computing equipment and services","Audio, visual and computing equipment",3,1.35,,
131190,Recreation And Culture,"Audio, visual and computing equipment and services","Audio, visual and computing media and services",3,0.7,,
131191,Recreation And Culture,"Newspapers, books and stationery",,2,0.58,,
97567,Recreation And Culture,"Newspapers, books and stationery",Books,3,0.18,,
131192,Recreation And Culture,"Newspapers, books and stationery","Newspapers, magazines and stationery",3,0.4,,
30033,Recreation And Culture,Holiday travel and accommodation,,2,2.03,,
40101,Recreation And Culture,Holiday travel and accommodation,Domestic holiday travel and accommodation,3,,,
40102,Recreation And Culture,Holiday travel and accommodation,International holiday travel and accommodation,3,,,
115492,Recreation And Culture,"Other recreation, sport and culture",,2,3.98,,
97571,Recreation And Culture,"Other recreation, sport and culture","Equipment for sports, camping and open-air recreation",3,0.7,,
97572,Recreation And Culture,"Other recreation, sport and culture","Games, toys and hobbies",3,0.69,,
40073,Recreation And Culture,"Other recreation, sport and culture",Pets and related products,3,0.5,,
40072,Recreation And Culture,"Other recreation, sport and culture",Veterinary and other services for pets,3,0.44,,
97573,Recreation And Culture,"Other recreation, sport and culture",Sports participation,3,0.75,,
97574,Recreation And Culture,"Other recreation, sport and culture","Other recreational, sporting and cultural services",3,0.9,,
40106,Education,,,1,4.63,,
40106,Education,Education,,2,4.63,,
115495,Education,Education,Preschool and primary education,3,0.99,,
115496,Education,Education,Secondary education,3,2.01,,
115497,Education,Education,Tertiary education,3,1.63,,
126670,Insurance And Financial Services,,,1,5.8,,
115529,Insurance And Financial Services,Insurance,,2,1.23,,
115529,Insurance And Financial Services,Insurance,Insurance,3,1.23,,
131195,Insurance And Financial Services,Financial services,,2,4.57,,
131194,Insurance And Financial Services,Financial services,Deposit and loan facilities (direct charges),3,0.46,,
1144,Insurance And Financial Services,Financial services,Other financial services,3,4.11,,
